;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;potion_name;potion_name;potion_name;potion_name;potion_name;potion_name;potion_name;potion_name;potion_name
good_pt_healing;исцеления / Исцеляющее;of Healing / Healing;治疗;der Heilung / Heilend;;;;;Leczenia / Leczenia
bad_pt_harm;вреда / Губительное;of Harm / Harmful;有害;der Schädigung / Schädigend;;;;;Bólu / Boląca
bad_pt_poison;отравления / Ядовитое;of Poison / Poisonous;毒性;des Giftes / Giftig;;;;;Trucizny / Trująca
bad_pt_explosion;взрыва / Взрывоопасное;of Explosion / Explosive;爆炸;der Explosion / Explosiv;;;;;Eksplozji / Wybuchowa
good_pt_pure;очищения / Очищающее;of Purification / Purifying;净化;der Reinigung / Reinigend;;;;;Oczyszczenia / Oczyszczająca
bad_pt_narcotic;галлюцинаций / Наркотическое;of Hallucinations / Narcotic;致幻;der Halluzinationen / Narkotisch;;;;;Halucynacji / Narkotyczna
good_pt_teleport;//;//;//;//;;;;;//
bad_pt_unstable;//;//;//;//;;;;;//
good_pt_anestetic;анестезии / Обезболивающее;of Anesthesia / Anesthetic;麻醉;der Anästhesie / Anästhetisch;;;;;Znieczulenia / Znieczulająca
good_pt_curiosity;любопытства / Любопытное;of Curiosity / Curious;好奇;der Neugierde / Neugierig;;;;;Ciekawości / Ciekawa
bad_pt_oblivious;//;//;//;//;;;;;//
good_pt_advancing;//;//;//;//;;;;;//
good_pt_lifesteal;вампиризма / Вампирическое;of Life Drain / Vampiric;吸血;des Lebensentzugs / Vampirisch;;;;;Wykradania Zdrowia / Wampiryczna
bad_pt_manaburn;выжигания / Выжигающее;of Manaburn / Manaburning;精力损耗;des Manabrands / Manaverbrennend;;;;;Spalania Many / Spalająca Manę
good_pt_mana;энергии / Восстанавливающее;of Energy / Energizing;精力;der Energie / Energetisch;;;;;Energii / Energetyczna
bad_pt_painfull;страданий / Болезненное;of Suffering / Painful;痛苦;des Leidens / Schmerzhaft;;;;;Cierpienia / Bolesna
good_pt_painkilling;болеутоления / Болеутоляющее;of Painkilling / Painkilling;止痛;der Schmerzstillung / Schmerzstillend;;;;;Uśnieżająca / Uśnieżenia
bad_pt_sedative;усыпления / Снотворное;of Sleeping / Sedative;安眠;des Schlafens / Sedierend;;;;;Śpiąca / Usypiająca
good_pt_antivenom;противоядия / Знахарское;of Antivenom / Antivenomous;解毒;des Gegengifts / Entgiftend;;;;;Odtrucia / Odtruwająca
good_pt_stoneskin;каменной кожи / Защитное;of Stoneskin / Protective;石肤;der Steinhaut / Schützend;;;;;Kamienna / Ochronna
good_pt_satitution;насыщения / Питательное;of Satiety / Nutritional;营养;der Sättigung / Sättigend;;;;;Nasycenia / Nasycająca
bad_pt_hunger;голода / Истощающее;of Hunger / Famished;饥饿;des Hungers / Aushungernd;;;;;Głodu / Głodująca
bad_pt_ignition;воспламенения / Огнеопасное;of Ignition / Flammable;燃烧;der Entzündung / Entzündend;;;;;Podpalenia / Podpalająca
bad_pt_freezing;оледенения / Замораживающее;of Frost / Freezing;霜冻;des Frosts / Einfrierend;;;;;Zamrożenia / Zamrażająca
bad_pt_confuse;замешательства / Дезориентирующее;of Confusion / Disorienting;混乱;der Verwirrung / Desorientierend;;;;;Zdziwienia / Dezorientująca
bad_pt_blinding;слепоты / Ослепляющее;of Blindness / Blinding;盲目;der Blindheit / Blendend;;;;;Ślepoty / Oślepiająca
good_pt_regeneration;регенерации / Лечебное;of Restoration / Restorative;恢复;der Wiederherstellung / Wiederherstellend;;;;;Odnowienia / Odnawiająca
good_pt_evasive;неуловимости / Уклончивое;of Elusiveness / Evasive;灵敏;der Flüchtigkeit / Ausweichend;;;;;Omijająca / Omijania
good_pt_accuracy;точности / Стабилизирующее;of Precision / Stabilizing;精准;der Präzision / Stabilisierend;;;;;Precyzji / Stabilizująca
good_pt_fortifying;крепости / Укрепляющее;of Sturdiness / Fortifying;健壮;der Robustheit / Stärkend;;;;;Twardości / Fortyfikująca
good_pt_rage;ярости / Разъяряющее;of Rage / Infuriating;愤怒;der Wut / Wütendmachen;;;;;Wściekłości / Wściekła
good_pt_deadless;смертоносности / Беспощадное;of Deadliness / Merciless;无情;der Tödlichkeit / Gnadenlos;;;;;Zabójczości / Bezlitosna
bad_pt_drunk;опьянения / Крепкое;of Drunkenness / Potent;醉酒;der Trunkenheit / Potent;;;;;Pijaństwa / Mocna
bad_pt_clymsy;неуклюжести / Неуклюжее;of Clumsiness / Awkward;笨拙;der Ungeschicklichkeit / Unbeholfen;;;;;Nieostrożności / Dziwna
bad_pt_fragility;хрупкости / Смягчающее;of Frailness / Softening;脆弱;der Gebrechlichkeit / Weichmachend;;;;;Kruchości / Delikatna
bad_pt_weakening;ослабления / Обессиливающее;of Weakening / Enervating;虚弱;der Schwächung / Enervierend;;;;;Osłabienia / Osłabiająca
good_pt_enrichment;//;//;//;//;;;;;//
good_pt_mana_drain;похищения энергии / Вытягивающее;of Energy Drain / Siphoning;精力吸取;des Energieentzugs / Absaugend;;;;;Wykradania Energii / Wysysająca
bad_pt_intoxication;интоксикации / Токсичное;of Intoxication / Toxic;迷醉;der Vergiftung / Toxisch;;;;;Zatrucia / Toksyczna
;potion_name_end;potion_name_end;potion_name_end;potion_name_end;potion_name_end;potion_name_end;potion_name_end;potion_name_end;potion_name_end
;;;;;;;;;
;potion_effect;potion_effect;potion_effect;potion_effect;potion_effect;potion_effect;potion_effect;potion_effect;potion_effect
good_pt_healing;Исцеление;Healing;疗伤;Heliung;;;;;Leczenie
bad_pt_harm;Вред;Harm;伤害;Schädigung;;;;;Ból
bad_pt_poison;Отравление;Poison;中毒;Gift;;;;;Zatrucie
bad_pt_explosion;Взрыв;Explosion;爆炸;Explosion;;;;;Eksplozja
good_pt_pure;Очищение;Purification;净化;Reinigung;;;;;Oczyszczenie
bad_pt_narcotic;Приход;Bad Trip;惊慌失措;Horrortrip;;;;;Urwany Film
good_pt_teleport;//;//;//;//;;;;;//
bad_pt_unstable;//;//;//;//;;;;;//
good_pt_anestetic;Анестезия;Anesthesia;麻醉;Anästhesie;;;;;Uśnieżenie
good_pt_curiosity;Восприимчивость;Receptivity;好奇;Aufnahmebereitschaft;;;;;Wrażliwość
bad_pt_oblivious;//;//;//;//;;;;;//
good_pt_advancing;//;//;//;//;;;;;//
good_pt_lifesteal;Похищение жизни;Life Drain;吸取生命;Lebensentzug;;;;;Wykradanie Zdrowia
bad_pt_manaburn;Выжигание энергии;Energy Burn;精力损耗;Energiebrand;;;;;Wykradanie Energii
good_pt_mana;Энергия;Energy;精力;Energie;;;;;Energia
bad_pt_painfull;Страдание;Suffering;痛苦;Leiden;;;;;Cierpienie
good_pt_painkilling;Болеутоление;Painkilling;止痛;Schmerzstillung;;;;;Uśnieżenie
bad_pt_sedative;Усыпление;Sedation;镇静安眠;Sedierung;;;;;Opanowanie
good_pt_antivenom;Противоядие;Antivenom;解毒;Gegengift;;;;;Odtrucie
good_pt_stoneskin;Каменная кожа;Stoneskin;石肤;Steinhaut;;;;;Kamienna Skóra
good_pt_satitution;Насыщение;Satiation;满足;Sättigung;;;;;Sytość
bad_pt_hunger;Голод;Hunger;饥饿;Hunger;;;;;Głód
bad_pt_ignition;Воспламенение;Ignition;燃烧;Entzündung;;;;;Podpalenie
bad_pt_freezing;Оледенение;Freezing;霜冻;Frieren;;;;;Zamrożenie
bad_pt_confuse;Замешательство;Confusion;迷惑;Verwirrung;;;;;Dezorientacja
bad_pt_blinding;Слепота;Blindness;盲目;Blindheit;;;;;Ślepota
good_pt_regeneration;Регенерация;Restoration;恢复;Wiederherstellung;;;;;Odnawianie
good_pt_evasive;Неуловимость;Elusiveness;灵敏;Flüchtigkeit;;;;;Unikliwość
good_pt_accuracy;Точность;Accuracy;准度;Genauigkeit;;;;;Celność
good_pt_fortifying;Крепость;Sturdiness;健壮;Robustheit;;;;;Krzepkość
good_pt_rage;Ярость;Rage;愤怒;Wut;;;;;Szał
good_pt_deadless;Смертоносность;Deadliness;致命;Tödlichkeit;;;;;Zabójczość
bad_pt_drunk;Опьянение;Drunkeness;醉酒;Trunkenheit;;;;;Pijaństwo
bad_pt_clymsy;Неуклюжесть;Clumsiness;笨拙;Ungeschicklichkeit;;;;;Niezdarność
bad_pt_fragility;Хрупкость;Frailness;脆弱;Gebrechlichkeit;;;;;Porażka
bad_pt_weakening;Ослабление;Weakening;虚弱;Schwächung;;;;;Słabość
good_pt_enrichment;//;//;//;//;;;;;//
good_pt_mana_drain;Похищение энергии;Energy Drain;精力吸取;Energieentzug;;;;;Wykradanie Energii
bad_pt_intoxication;Интоксикация;Intoxication;迷醉;Vergiftung;;;;;Zatrucie
;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end;potion_effect_end
;;;;;;;;;
;potion_quality;potion_quality;potion_quality;potion_quality;potion_quality;potion_quality;potion_quality;potion_quality;potion_quality
;Безупречное;Flawless;完美;Makellos;;;;;Czysta
;Сбалансированное;Balanced;均衡;Ausgewogen;;;;;Zbalansowana
;Сомнительное;Dubious;可疑;Fraglich;;;;;Podejrzana
;Вредоносное;Harmful;有害;Schädigend;;;;;Szkodliwa
;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end;potion_quality_end
;;;;;;;;;
;potion_desc;potion_desc;potion_desc;potion_desc;potion_desc;potion_desc;potion_desc;potion_desc;potion_desc
good_pt_healing;Восстанавливает здоровье.;Restores Health.;恢复生命。;Stellt Gesundheit wieder her.;;;;;Odnawia Zdrowie.
bad_pt_harm;Наносит урон.;Damages Health.;损害生命。;Schädigt Gesundheit.;;;;;Obniża Zdrowie.
bad_pt_poison;Отравляет.;Poisons.;导致中毒。;Vergiftet.;;;;;Zatruwa.
bad_pt_explosion;Наносит травмирующий урон.;Deals Bodypart Damage;伤害肢体。;Fügt Körperteilen Schaden zu.;;;;;Zadaje obrażenia częsciom ciała.
good_pt_pure;Избавляет от нескольких активных эффектов.;Removes some active effects.;消除当前存在的某些效果。;Entfernt einige aktive Effekte.;;;;;Usuwa część aktywnych efektów.
bad_pt_narcotic;Вызывает галлюцинации.;Causes Bad Trip.;导致“惊慌失措”。;Löst einen Horrortrip aus.;;;;;Powoduje Urwany Film.
