тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
;text;text;text;text;text;text;text;text;text
attack;~w~$~/~ $. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $. ~w~$~/~ perdeu ~w~$~/~ $;~w~$~/~$。~w~$~/~失去了~w~$~/~点$;~w~$~/~ $. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $. ~w~$~/~ traci ~w~$~/~ $
crit;~w~$~/~ $ и наносит ~r~критическую атаку~/~! ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $ and scores ~r~critical hit~/~! ~w~$~/~ loses ~w~$~/~ $;~w~$~/~$，并造成了~r~暴击~/~！~w~$~/~失去了~w~$~/~点$;~w~$~/~ $ und landet ~r~krit. Treffer~/~! ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $ zadaje ~r~cios krytyczny~/~! ~w~$~/~ traci ~w~$~/~ $
fumble;~w~$~/~ неудачно $. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $, mas se atrapalhou. O ~w~$~/~ perdeu ~w~$~/~ $;~w~$~/~$，但失手了。~w~$~/~失去了~w~$~/~点$;~w~$~/~ $, stellt sich aber ungeschickt an. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $, ale partaczy. ~w~$~/~ traci ~w~$~/~ $
shot;~w~$~/~ стреляет. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ shoots. ~w~$~/~ loses ~w~$~/~ $;~w~$~/~攻击，~w~$~/~失去了~w~$~/~点$;~w~$~/~ schießt. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ strzela w. ~w~$~/~ traci ~w~$~/~ $
fumbleNoDamage;~w~$~/~ неудачно $. ~w~$~/~ не получает урона;~w~$~/~ $, but fumbles. ~w~$~/~ doesn't take any damage;~w~$~/~$，可是失手了，~w~$~/~没有受到伤害;~w~$~/~ $, stellt sich aber ungeschickt an. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $, ale partaczy. ~w~$~/~ nie otrzymuje obrażeń.
attackNoDamage;~w~$~/~ $. ~w~$~/~ не получает урона;~w~$~/~ $. ~w~$~/~ doesn't take any damage;~w~$~/~$，~w~$~/~没有受到伤害;~w~$~/~ $. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $. ~w~$~/~ nie otrzymuje żadnych obrażeń.
critNoDamage;~w~$~/~ $ и наносит ~r~критическую атаку~/~! ~w~$~/~ не получает урона;~w~$~/~ $ and scores ~r~critical hit~/~! ~w~$~/~ doesn't take any damage;~w~$~/~$，并造成了~r~暴击~/~！~w~$~/~没有受到伤害;~w~$~/~ $ und landet einen ~r~krit. Treffer~/~! ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $ trafia i zadaje ~r~cios krytyczny~/~! ~w~$~/~ nie otrzymuje obrażeń.
shotNoDamage;~w~$~/~ стреляет. ~w~$~/~ не получает урона;~w~$~/~ shoots. ~w~$~/~ doesn't take any damage;~w~$~/~攻击，~w~$~/~没有受到伤害;~w~$~/~ schießt. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ strzela. ~w~$~/~ nie otrzymuje żadnych obrażeń.
blockFull;~w~$~/~ $. ~w~$~/~ блокирует весь урон;~w~$~/~ $. ~w~$~/~ blocks all damage;~w~$~/~$。~w~$~/~挡住了所有伤害;~w~$~/~ $. ~w~$~/~ blockt gesamten Schaden;;;;;~w~$~/~ $. ~w~$~/~ blokuje wszystkie obrażenia.
